1,2,4
2,1,4
2,3,4
3,2,4
3,4,4
4,3,4
4,5,4
5,4,4
6,7,4
7,6,4
7,8,4
8,7,4
8,9,4
9,8,4
9,10,4
10,9,4
11,12,1
12,11,1
12,13,1
13,12,1
13,14,1
14,13,1
14,15,1
15,14,1
16,17,4
17,16,4
17,18,4
18,17,4
18,19,4
19,18,4
19,20,4
20,19,4
21,22,4
22,21,4
22,23,4
23,22,4
23,24,4
24,23,4
24,25,4
25,24,4
1,6,4
6,1,4
6,11,4
11,6,4
11,16,4
16,11,4
16,21,4
21,16,4
2,7,4
7,2,4
7,12,4
12,7,4
12,17,4
17,12,4
17,22,4
22,17,4
3,8,1
8,3,1
8,13,1
13,8,1
13,18,1
18,13,1
18,23,1
23,18,1
4,9,4
9,4,4
9,14,4
14,9,4
14,19,4
19,14,4
19,24,4
24,19,4
5,10,4
10,5,4
10,15,4
15,10,4
15,20,4
20,15,4
20,25,4
25,20,4
